WKT,name,Neighborhood,Spots,Slow,Medium,Fast,Ultra Fast,kW,X Coordinate,Y Coordinate
POINT (34.9574648 29.5602684),GasStation1,,,0,0,0,6,2100,34.9574648,29.5602684
POINT (34.955183 29.555155),GasStation2,,,0,0,0,4,1400,34.955183,29.555155
POINT (34.9631005 29.5709311),GasStation3,,,0,0,0,4,1400,34.9631005,29.5709311
POINT (34.957848 29.560524),GasStation4,,,0,0,0,4,1400,34.957848,29.560524
POINT (34.9617422 29.5701168),GasStation5,,,0,0,0,4,1400,34.9617422,29.5701168
POINT (34.9660327 29.5540665),ShoppingCenter1,,,0,6,0,0,132,34.9660327,29.5540665
POINT (34.9516567 29.5468615),ShoppingCenter2,,35,0,6,1,0,182,34.9516567,29.5468615
POINT (34.9596611 29.5680229),ShoppingCenter3,,200,0,36,4,0,992,34.9596611,29.5680229
POINT (34.9451468 29.5536066),ShoppingCenter4,,60,0,12,1,0,314,34.9451468,29.5536066
POINT (34.9493769 29.5595858),ShoppingCenter5,,70,0,14,1,0,358,34.9493769,29.5595858
POINT (34.9450258 29.5621571),ShoppingCenter6,,38,0,8,1,0,226,34.9450258,29.5621571
POINT (34.9446591 29.561897),ShoppingCenter7,,40,0,8,1,0,226,34.9446591,29.561897
POINT (34.9457424 29.5639631),ShoppingCenter8,,40,0,8,1,0,226,34.9457424,29.5639631
POINT (34.9603252 29.5660512),ShoppingCenter9,,375,0,68,8,0,1896,34.9603252,29.5660512
POINT (34.9589984 29.5669246),ShoppingCenter10,,225,0,40,6,0,1180,34.9589984,29.5669246
POINT (34.9532136 29.5558562),ShoppingCenter11,,200,0,36,4,0,992,34.9532136,29.5558562
POINT (34.951535 29.5550276),ShoppingCenter12,,80,0,14,2,0,408,34.951535,29.5550276
POINT (34.957611 29.5693396),ShoppingCenter13,,30,0,6,1,0,182,34.957611,29.5693396
POINT (34.9586695 29.5691321),ShoppingCenter14,,36,0,6,1,0,182,34.9586695,29.5691321
POINT (34.9596619 29.5688345),ShoppingCenter15,,29,0,6,1,0,182,34.9596619,29.5688345
POINT (34.9527793 29.5488571),ShoppingCenter16,,115,0,22,2,0,584,34.9527793,29.5488571
POINT (34.9562671 29.5678864),ShoppingCenter17,,100,0,18,2,0,496,34.9562671,29.5678864
POINT (34.9535555 29.5501674),ShoppingCenter18,,163,0,30,3,0,810,34.9535555,29.5501674
POINT (34.9558056 29.565437),ShoppingCenter19,,100,0,18,2,0,496,34.9558056,29.565437
POINT (34.9475371 29.5499006),ShoppingCenter20,,21,0,4,0,0,88,34.9475371,29.5499006
POINT (34.9505849 29.5528293),Municipal1,,100,0,18,0,,396,34.9505849,29.5528293
POINT (34.9513333 29.5694663),Municipal2,,32,0,6,0,,132,34.9513333,29.5694663
POINT (34.9251108 29.5442194),Municipal3,,18,0,4,0,,88,34.9251108,29.5442194
POINT (34.9568607 29.563888),Recreation1,,60,0,12,0,,264,34.9568607,29.563888
POINT (34.9502127 29.553273),Recreation2,,56,0,12,0,,264,34.9502127,29.553273
POINT (34.9463399 29.5404402),Recreation3,,144,0,26,0,,572,34.9463399,29.5404402
POINT (34.9309495 29.5412126),Recreation4,,19,0,2,0,,44,34.9309495,29.5412126
POINT (34.9262389 29.5454845),Recreation5,,37,0,8,0,,176,34.9262389,29.5454845
POINT (34.9340661 29.5460247),Recreation6,,39,0,4,0,,88,34.9340661,29.5460247
POINT (34.9498218 29.5638142),School1,,30,0,6,0,,132,34.9498218,29.5638142
POINT (34.9484832 29.5561411),School2,,41,0,6,0,,132,34.9484832,29.5561411
POINT (34.9420449 29.5579101),School3,,70,0,14,0,,308,34.9420449,29.5579101
POINT (34.9273953 29.5435335),School4,,41,0,8,0,,176,34.9273953,29.5435335
POINT (34.9264297 29.5446812),School5,,53,0,10,0,,220,34.9264297,29.5446812
POINT (34.9516683 29.5636916),Residential1,,25,0,4,1,,138,34.9516683,29.5636916
POINT (34.9464641 29.5502468),Residential2,,45,0,8,1,,226,34.9464641,29.5502468
POINT (34.946289 29.5616049),Residential3,,35,0,8,0,,176,34.946289,29.5616049
POINT (34.9457535 29.5626757),Residential4,,38,0,8,1,,226,34.9457535,29.5626757
POINT (34.9419371 29.5624472),Residential5,,180,0,32,4,,904,34.9419371,29.5624472
POINT (34.9526405 29.5660196),Residential6,,40,0,8,1,,226,34.9526405,29.5660196
POINT (34.9358679 29.5606105),Residential7,,85,0,16,2,,452,34.9358679,29.5606105
POINT (34.932533 29.5561182),Residential8,,35,0,6,1,,182,34.932533,29.5561182
POINT (34.9318785 29.5563702),Residential9,,35,0,6,1,,182,34.9318785,29.5563702
POINT (34.9355724 29.5556676),Residential10,,72,0,14,2,,408,34.9355724,29.5556676
POINT (34.935893 29.5498233),Residential11,,45,0,8,1,,226,34.935893,29.5498233
POINT (34.9309146 29.5529144),Residential12,,45,0,8,1,,226,34.9309146,29.5529144
POINT (34.9518282 29.5674187),Residential13,,48,0,10,1,,270,34.9518282,29.5674187
POINT (34.9230304 29.5438816),Residential14,,25,0,6,0,,132,34.9230304,29.5438816
POINT (34.9419577 29.5503784),Residential15,,25,0,6,0,,132,34.9419577,29.5503784
POINT (34.9423412 29.5507611),Residential16,,32,0,6,0,,132,34.9423412,29.5507611
POINT (34.9335846 29.5461722),Residential17,,30,0,6,0,,132,34.9335846,29.5461722
POINT (34.9325117 29.5451922),Residential18,,25,0,6,0,,132,34.9325117,29.5451922
POINT (34.9300344 29.5429941),Residential19,,49,0,10,0,,220,34.9300344,29.5429941
POINT (34.9441295 29.563908),Residential20,,44,0,9,0,,198,34.9441295,29.563908
POINT (34.9409556 29.5645596),Residential21,,89,0,18,0,,396,34.9409556,29.5645596
