Neighborhood,Sum of Weights,Sum of X Weights,Sum of Y Weights,X / Weights,Y / Weights
1,168,5873.081951,4964.81989,34.9588211,29.5524993
2,38,1328.181916,1123.400772,34.9521557,29.5631782
3,31,1083.415487,916.455329,34.9488867,29.5630751
4,27,943.4240099,798.2123259,34.94163,29.5634195
5,22,768.8046012,650.340523,34.9456637,29.5609329
6,22,768.878909,650.254611,34.9490413,29.5570278
7,27,943.4491621,798.0432927,34.9425616,29.557159
8,69,2410.597249,2039.672045,34.936192,29.5604644
10,25,873.327105,738.9139652,34.9330842,29.5565586
11,19,663.8800183,561.4650067,34.9410536,29.5507898
12,14,489.2416324,413.7535902,34.9458309,29.5538279
13,25,873.2987603,738.7726985,34.9319504,29.5509079
14,42,1467.111501,1240.980662,34.9312262,29.5471586
15,42,1466.991392,1240.89032,34.9283665,29.5450076
17,42,1466.878177,1240.819288,34.9256709,29.5433164
18,24,838.4241239,709.0708309,34.9343385,29.544618
21,28,978.062179,827.1596248,34.9307921,29.5414152
22,31,1083.093471,915.9271745,34.9384991,29.5460379
23,20,698.8235074,590.8006248,34.9411754,29.5400312
25,11,384.4270822,324.9938404,34.9479166,29.5448946
27,26,908.6636816,768.3109524,34.9486031,29.5504212
29,83,2901.603328,2454.103921,34.9590762,29.5675171
