WKT,name,Neighborhood,Spots,Slow,Medium,Fast,Ultra Fast,kW,X Coordinate,Y Coordinate
POINT (34.9660327 29.5540665),ShoppingCenter1,,,0,6,0,0,132,34.9660327,29.5540665
POINT (34.9516567 29.5468615),ShoppingCenter2,,35,0,6,1,0,182,34.9516567,29.5468615
POINT (34.9596611 29.5680229),ShoppingCenter3,,200,0,36,4,0,992,34.9596611,29.5680229
POINT (34.9451468 29.5536066),ShoppingCenter4,,60,0,12,1,0,314,34.9451468,29.5536066
POINT (34.9493769 29.5595858),ShoppingCenter5,,70,0,14,1,0,358,34.9493769,29.5595858
POINT (34.9450258 29.5621571),ShoppingCenter6,,38,0,8,1,0,226,34.9450258,29.5621571
POINT (34.9446591 29.561897),ShoppingCenter7,,40,0,8,1,0,226,34.9446591,29.561897
POINT (34.9457424 29.5639631),ShoppingCenter8,,40,0,8,1,0,226,34.9457424,29.5639631
POINT (34.9603252 29.5660512),ShoppingCenter9,,375,0,68,8,0,1896,34.9603252,29.5660512
POINT (34.9589984 29.5669246),ShoppingCenter10,,225,0,40,6,0,1180,34.9589984,29.5669246
POINT (34.9532136 29.5558562),ShoppingCenter11,,200,0,36,4,0,992,34.9532136,29.5558562
POINT (34.951535 29.5550276),ShoppingCenter12,,80,0,14,2,0,408,34.951535,29.5550276
POINT (34.957611 29.5693396),ShoppingCenter13,,30,0,6,1,0,182,34.957611,29.5693396
POINT (34.9586695 29.5691321),ShoppingCenter14,,36,0,6,1,0,182,34.9586695,29.5691321
POINT (34.9596619 29.5688345),ShoppingCenter15,,29,0,6,1,0,182,34.9596619,29.5688345
POINT (34.9527793 29.5488571),ShoppingCenter16,,115,0,22,2,0,584,34.9527793,29.5488571
POINT (34.9562671 29.5678864),ShoppingCenter17,,100,0,18,2,0,496,34.9562671,29.5678864
POINT (34.9535555 29.5501674),ShoppingCenter18,,163,0,30,3,0,810,34.9535555,29.5501674
POINT (34.9558056 29.565437),ShoppingCenter19,,100,0,18,2,0,496,34.9558056,29.565437
POINT (34.9475371 29.5499006),ShoppingCenter20,,21,0,4,0,0,88,34.9475371,29.5499006
