WKT,name,Neighborhood,Spots,Slow,Medium,Fast,Ultra Fast,kW,X Coordinate,Y Coordinate
POINT (34.9505849 29.5528293),Municipal1,,100,0,18,0,,396,34.9505849,29.5528293
POINT (34.9513333 29.5694663),Municipal2,,32,0,6,0,,132,34.9513333,29.5694663
POINT (34.9251108 29.5442194),Municipal3,,18,0,4,0,,88,34.9251108,29.5442194
POINT (34.9568607 29.563888),Recreation1,,60,0,12,0,,264,34.9568607,29.563888
POINT (34.9502127 29.553273),Recreation2,,56,0,12,0,,264,34.9502127,29.553273
POINT (34.9463399 29.5404402),Recreation3,,144,0,26,0,,572,34.9463399,29.5404402
POINT (34.9309495 29.5412126),Recreation4,,19,0,2,0,,44,34.9309495,29.5412126
POINT (34.9262389 29.5454845),Recreation5,,37,0,8,0,,176,34.9262389,29.5454845
POINT (34.9340661 29.5460247),Recreation6,,39,0,4,0,,88,34.9340661,29.5460247
POINT (34.9498218 29.5638142),School1,,30,0,6,0,,132,34.9498218,29.5638142
POINT (34.9484832 29.5561411),School2,,41,0,6,0,,132,34.9484832,29.5561411
POINT (34.9420449 29.5579101),School3,,70,0,14,0,,308,34.9420449,29.5579101
POINT (34.9273953 29.5435335),School4,,41,0,8,0,,176,34.9273953,29.5435335
POINT (34.9264297 29.5446812),School5,,53,0,10,0,,220,34.9264297,29.5446812
