WKT,name,Neighborhood,Spots,Slow,Medium,Fast,Ultra Fast,kW,X Coordinate,Y Coordinate
POINT (34.9516683 29.5636916),Residential1,,25,0,4,1,,138,34.9516683,29.5636916
POINT (34.9464641 29.5502468),Residential2,,45,0,8,1,,226,34.9464641,29.5502468
POINT (34.946289 29.5616049),Residential3,,35,0,8,0,,176,34.946289,29.5616049
POINT (34.9457535 29.5626757),Residential4,,38,0,8,1,,226,34.9457535,29.5626757
POINT (34.9419371 29.5624472),Residential5,,180,0,32,4,,904,34.9419371,29.5624472
POINT (34.9526405 29.5660196),Residential6,,40,0,8,1,,226,34.9526405,29.5660196
POINT (34.9358679 29.5606105),Residential7,,85,0,16,2,,452,34.9358679,29.5606105
POINT (34.932533 29.5561182),Residential8,,35,0,6,1,,182,34.932533,29.5561182
POINT (34.9318785 29.5563702),Residential9,,35,0,6,1,,182,34.9318785,29.5563702
POINT (34.9355724 29.5556676),Residential10,,72,0,14,2,,408,34.9355724,29.5556676
POINT (34.935893 29.5498233),Residential11,,45,0,8,1,,226,34.935893,29.5498233
POINT (34.9309146 29.5529144),Residential12,,45,0,8,1,,226,34.9309146,29.5529144
POINT (34.9518282 29.5674187),Residential13,,48,0,10,1,,270,34.9518282,29.5674187
POINT (34.9230304 29.5438816),Residential14,,25,0,6,0,,132,34.9230304,29.5438816
POINT (34.9419577 29.5503784),Residential15,,25,0,6,0,,132,34.9419577,29.5503784
POINT (34.9423412 29.5507611),Residential16,,32,0,6,0,,132,34.9423412,29.5507611
POINT (34.9335846 29.5461722),Residential17,,30,0,6,0,,132,34.9335846,29.5461722
POINT (34.9325117 29.5451922),Residential18,,25,0,6,0,,132,34.9325117,29.5451922
POINT (34.9300344 29.5429941),Residential19,,49,0,10,0,,220,34.9300344,29.5429941
POINT (34.9441295 29.563908),Residential20,,44,0,9,0,,198,34.9441295,29.563908
POINT (34.9409556 29.5645596),Residential21,,89,0,18,0,,396,34.9409556,29.5645596
