WKT,X Coordinate,Y Coordinate
POINT (34.9624127 29.5566743),34.9624127,29.5566743
POINT (34.9619296 29.5512977),34.9619296,29.5512977
POINT (34.9611882 29.5546877),34.9611882,29.5546877
POINT (34.9622509 29.5524937),34.9622509,29.5524937
POINT (34.9574655 29.5602683),34.9574655,29.5602683
POINT (34.9637199 29.5558256),34.9637199,29.5558256
POINT (34.9653043 29.548978),34.9653043,29.548978
POINT (34.9671801 29.5488733),34.9671801,29.5488733
POINT (34.9632703 29.5503514),34.9632703,29.5503514
POINT (34.9566436 29.55152349999999),34.9566436,29.55152349999999
POINT (34.9577681 29.5515841),34.9577681,29.5515841
POINT (34.9578295 29.5527056),34.9578295,29.5527056
POINT (34.967028 29.548851),34.967028,29.548851
POINT (34.967032 29.54860459999999),34.967032,29.54860459999999
POINT (34.9604254 29.5554101),34.9604254,29.5554101
POINT (34.9594472 29.5675792),34.9594472,29.5675792
POINT (34.9590831 29.5680464),34.9590831,29.5680464
POINT (34.9598488 29.5547935),34.9598488,29.5547935
POINT (34.9600607 29.5655254),34.9600607,29.5655254
POINT (34.9676376 29.5490441),34.9676376,29.5490441
POINT (34.9633674 29.5516567),34.9633674,29.5516567
POINT (34.966612031839404 29.554106419648775),34.966612031839404,29.554106419648775
POINT (34.95851536960977 29.551592456011036),34.95851536960977,29.551592456011036
POINT (34.931934608876574 29.557558051947826),34.931934608876574,29.557558051947826
POINT (34.93585366992343 29.559002797894422),34.93585366992343,29.559002797894422
POINT (34.9625585 29.5711264),34.9625585,29.5711264
POINT (34.9288896 29.5440538),34.9288896,29.5440538
POINT (34.958997 29.5664832),34.958997,29.5664832
POINT (34.96360309999999 29.57158849999999),34.96360309999999,29.57158849999999
POINT (34.9574743 29.5531766),34.9574743,29.5531766
POINT (34.9593422 29.5558804),34.9593422,29.5558804
POINT (34.9610977 29.5551432),34.9610977,29.5551432
POINT (34.9608992 29.5551432),34.9608992,29.5551432
POINT (34.9581987 29.5502663),34.9581987,29.5502663
POINT (34.9564224 29.5507648),34.9564224,29.5507648
POINT (34.9631534 29.5495548),34.9631534,29.5495548
POINT (34.9592322 29.5624758),34.9592322,29.5624758
POINT (34.9586523 29.5653154),34.9586523,29.5653154
POINT (34.9672394 29.5517458),34.9672394,29.5517458
POINT (34.9608009 29.5560996),34.9608009,29.5560996
POINT (34.9599467 29.5571738),34.9599467,29.5571738
POINT (34.9550747 29.5552071),34.9550747,29.5552071
POINT (34.9525748 29.5536817),34.9525748,29.5536817
POINT (34.9456002 29.5507586),34.9456002,29.5507586
POINT (34.9477099 29.5512834),34.9477099,29.5512834
