Charger Name,Charger Coordinates,Light Station Name,Light Station Coordinates,Distance (km)
GasStation1,"34.9574648, 29.5602684",Point 8,"34.958627, 29.5616525",0.18058490466951688
GasStation2,"34.955183, 29.555155",Point 69,"34.9542698, 29.5539243",0.15129806597472228
GasStation3,"34.9631005, 29.5709311",Point 2,"34.9629592, 29.5701443",0.07339978293504784
GasStation4,"34.957848, 29.560524",Point 8,"34.958627, 29.5616525",0.13446092818529018
GasStation5,"34.9617422, 29.5701168",Point 2,"34.9629592, 29.5701443",0.13534740680070387
ShoppingCenter1,"34.9660327, 29.5540665",Point 73,"34.9666916, 29.5535326",0.08794790836934631
ShoppingCenter2,"34.9516567, 29.5468615",Point 62,"34.9495996, 29.5490501",0.30349610601606125
ShoppingCenter3,"34.9596611, 29.5680229",Point 3,"34.958052, 29.5702575",0.27107896199598824
ShoppingCenter4,"34.9451468, 29.5536066",Point 57,"34.9460086, 29.5528243",0.11944520604650934
ShoppingCenter5,"34.9493769, 29.5595858",Point 13,"34.9507738, 29.5619471",0.2654106551595487
ShoppingCenter6,"34.9450258, 29.5621571",Point 16,"34.9438827, 29.5637867",0.19549536107230756
ShoppingCenter7,"34.9446591, 29.561897",Point 16,"34.9438827, 29.5637867",0.19266631644203241
ShoppingCenter8,"34.9457424, 29.5639631",Point 16,"34.9438827, 29.5637867",0.20741335627978885
ShoppingCenter9,"34.9603252, 29.5660512",Point 6,"34.9579382, 29.5637458",0.33850886849827994
ShoppingCenter10,"34.9589984, 29.5669246",Point 6,"34.9579382, 29.5637458",0.3127584858148402
ShoppingCenter11,"34.9532136, 29.5558562",Point 70,"34.9537055, 29.5561825",0.06225830493790523
ShoppingCenter12,"34.951535, 29.5550276",Point 67,"34.9519095, 29.5558002",0.08180624809024022
ShoppingCenter13,"34.957611, 29.5693396",Point 3,"34.958052, 29.5702575",0.09696408030037904
ShoppingCenter14,"34.9586695, 29.5691321",Point 3,"34.958052, 29.5702575",0.12342253264968517
ShoppingCenter15,"34.9596619, 29.5688345",Point 3,"34.958052, 29.5702575",0.22104847801319033
ShoppingCenter16,"34.9527793, 29.5488571",Point 65,"34.9523841, 29.5505243",0.15817274809900478
ShoppingCenter17,"34.9562671, 29.5678864",Point 5,"34.9556745, 29.5695941",0.1690055228791041
ShoppingCenter18,"34.9535555, 29.5501674",Point 64,"34.9528348, 29.5507296",0.09511787285595437
ShoppingCenter19,"34.9558056, 29.565437",Point 9,"34.9552298, 29.5661281",0.0898123042132167
ShoppingCenter20,"34.9475371, 29.5499006",Point 61,"34.9483998, 29.5506977",0.12033385124825326
Municipal1,"34.9505849, 29.5528293",Point 60,"34.9488646, 29.5540294",0.22035218896325773
Municipal2,"34.9513333, 29.5694663",Point 10,"34.9523656, 29.5668832",0.2619144951861212
Municipal3,"34.9251108, 29.5442194",Point 42,"34.9243252, 29.5440165",0.08929188391445109
Recreation1,"34.9568607, 29.563888",Point 6,"34.9579382, 29.5637458",0.12051130250251377
Recreation2,"34.9502127, 29.553273",Point 60,"34.9488646, 29.5540294",0.1649946528091481
