WKT,name,description
"POLYGON ((34.9574431 29.5721343, 34.955919 29.5679555, 34.9552324 29.5642601, 34.9551257 29.5582112, 34.9563702 29.5575765, 34.958451 29.5607512, 34.9603449 29.562952, 34.9638154 29.5684034, 34.9643304 29.5696725, 34.9633863 29.5698964, 34.960511 29.5714268, 34.9589716 29.5720224, 34.9574431 29.5721343))",Neighborhood 29,
"POLYGON ((34.9570985 29.5721733, 34.9554248 29.572024, 34.9535794 29.5713894, 34.9511762 29.5689259, 34.9496741 29.5677315, 34.9506183 29.5665744, 34.9508328 29.5626549, 34.9510474 29.559482, 34.9511332 29.5578395, 34.9515624 29.5569062, 34.9551257 29.5582112, 34.9550239 29.5606342, 34.9551673 29.5635135, 34.9556823 29.5660518, 34.955919 29.5679555, 34.9570985 29.5721733))",Neighborhood 2,
"POLYGON ((34.9496741 29.5677315, 34.9479238 29.5666749, 34.9450056 29.5652565, 34.9441196 29.5646245, 34.9448339 29.5643606, 34.946289 29.5616049, 34.9478142 29.5587677, 34.948868 29.5593959, 34.950885 29.5600678, 34.9506183 29.5665744, 34.9496741 29.5677315))",Neighborhood 3,
"POLYGON ((34.9441196 29.5646245, 34.9448339 29.5643606, 34.9450056 29.5652565, 34.9439086 29.5653539, 34.9427499 29.5657645, 34.941162 29.5666977, 34.9401321 29.5665111, 34.9392308 29.5660631, 34.9377288 29.5643834, 34.9366559 29.5635995, 34.9370851 29.5628156, 34.9408187 29.5603146, 34.9441196 29.5646245))",Neighborhood 4,
"POLYGON ((34.9410948 29.5601385, 34.9441418 29.5581601, 34.9466309 29.5567415, 34.94706 29.5577121, 34.9478142 29.5587677, 34.9457297 29.5629755, 34.9448339 29.5643606, 34.9441196 29.5646245, 34.9410948 29.5601385))",Neighborhood 5,
"POLYGON ((34.950885 29.5600678, 34.948868 29.5593959, 34.9478142 29.5587677, 34.94706 29.5577121, 34.9466309 29.5567415, 34.9462275 29.5552871, 34.9475579 29.5548204, 34.9482874 29.5541671, 34.9499611 29.555903, 34.9515624 29.5569062, 34.9511332 29.5578395, 34.950885 29.5600678))",nNeighborhood 6,
"POLYGON ((34.9408187 29.5603146, 34.9388169 29.5577192, 34.9388169 29.5546581, 34.9406193 29.5551434, 34.9449108 29.5554047, 34.9461834 29.5554079, 34.9466554 29.5570878, 34.944825 29.5576819, 34.9408187 29.5603146))",Neighborhood 7,
"POLYGON ((34.9366559 29.5635995, 34.9349401 29.562962, 34.9338672 29.562402, 34.9327943 29.5615808, 34.9321076 29.5604609, 34.9315497 29.5592664, 34.9323651 29.5590424, 34.9331805 29.5587438, 34.9340818 29.5582958, 34.9353263 29.5582211, 34.9361417 29.5582958, 34.9373433 29.5583705, 34.9381587 29.5581838, 34.9388169 29.5577192, 34.9408187 29.5603146, 34.9370851 29.5628156, 34.9366559 29.5635995))",Neighborhood 8,
"POLYGON ((34.931547 29.5592664, 34.9312977 29.5581441, 34.9309973 29.5572108, 34.9301819 29.5562402, 34.9297527 29.5555309, 34.9294952 29.5543363, 34.9294952 29.553739, 34.9311689 29.5534404, 34.9332288 29.5526191, 34.93619 29.5510138, 34.9370483 29.5505658, 34.938207 29.5522831, 34.938722 29.5529924, 34.9388142 29.5546581, 34.9388142 29.5577192, 34.938156 29.5581838, 34.9373406 29.5583705, 34.9366192 29.5583307, 34.9357609 29.5581441, 34.9348167 29.5582934, 34.9340791 29.5582958, 34.9331778 29.5587438, 34.931547 29.5592664))",Neighborhood 10,
"POLYGON ((34.9388169 29.5546581, 34.9387741 29.5537472, 34.9387247 29.5529924, 34.9379372 29.5518246, 34.937051 29.5505658, 34.9383449 29.5498833, 34.9408984 29.5485206, 34.9426579 29.5475313, 34.9444389 29.5504619, 34.9434948 29.5513766, 34.9428296 29.5522353, 34.9422073 29.5533925, 34.9420356 29.5547365, 34.9420571 29.5552778, 34.9408769 29.5551285, 34.9396109 29.5549231, 34.9388169 29.5546581))",Neighborhood 11,
