WKT,name,Desrciption,Weight,Neighborhood,X,Y,X Weight,Y Weight
POINT (34.9584236 29.5514677),lot 1,,2,1,34.9584236,29.5514677,69.9168472,59.1029354
POINT (34.9568517 29.5510369),lot 2,,1,1,34.9568517,29.5510369,34.9568517,29.5510369
POINT (34.9582331 29.550742),lot 3,,2,1,34.9582331,29.550742,69.9164662,59.101484
POINT (34.9588849 29.5507514),lot 4,,2,1,34.9588849,29.5507514,69.9177698,59.1015028
POINT (34.9590512 29.5512437),lot 6,,1,1,34.9590512,29.5512437,34.9590512,29.5512437
POINT (34.9531603 29.5557792),lot 33,,3,1,34.9531603,29.5557792,104.8594809,88.6673376
POINT (34.9545621 29.5556884),lot 34,,2,1,34.9545621,29.5556884,69.9091242,59.1113768
POINT (34.9513128 29.5550618),lot 35,,3,1,34.9513128,29.5550618,104.8539384,88.6651854
POINT (34.9516427 29.5558294),lot 36,,2,1,34.9516427,29.5558294,69.9032854,59.1116588
POINT (34.950429 29.5558265),lot 37,,1,1,34.950429,29.5558265,34.950429,29.5558265
POINT (34.9535555 29.5501674),lot 53,,3,1,34.9535555,29.5501674,104.8606665,88.6505022
POINT (34.9511165 29.5524703),lot 55,,3,1,34.9511165,29.5524703,104.8533495,88.6574109
POINT (34.9503341 29.5533018),lot 56,3ocated near 1choo3,2,1,34.9503341,29.5533018,69.9006682,59.1066036
POINT (34.9582317 29.554394),lot 58,,3,1,34.9582317,29.554394,104.8746951,88.663182
POINT (34.9516993 29.5523192),lot 57,,3,1,34.9516993,29.5523192,104.8550979,88.6569576
POINT (34.9627079 29.5504342),lot 59,,3,1,34.9627079,29.5504342,104.8881237,88.6513026
POINT (34.9611835 29.5494837),lot 60,,3,1,34.9611835,29.5494837,104.8835505,88.6484511
POINT (34.9620544 29.5490977),lot 61,,3,1,34.9620544,29.5490977,104.8861632,88.6472931
POINT (34.9659674 29.5484634),lot 62,,2,1,34.9659674,29.5484634,69.9319348,59.0969268
POINT (34.9661124 29.5489884),lot 63,,2,1,34.9661124,29.5489884,69.9322248,59.0979768
POINT (34.9655892 29.5491971),lot 64,,2,1,34.9655892,29.5491971,69.9311784,59.0983942
POINT (34.9650392 29.5494646),lot 65,,2,1,34.9650392,29.5494646,69.9300784,59.0989292
POINT (34.9637006 29.5500903),lot 66,,2,1,34.9637006,29.5500903,69.9274012,59.1001806
POINT (34.964163 29.5499939),lot 67,,3,1,34.964163,29.5499939,104.892489,88.6499817
POINT (34.9660555 29.549883),lot 69,,1,1,34.9660555,29.549883,34.9660555,29.549883
POINT (34.9658369 29.5506261),lot 70,,3,1,34.9658369,29.5506261,104.8975107,88.6518783
POINT (34.9647146 29.5519928),lot 71,,3,1,34.9647146,29.5519928,104.8941438,88.6559784
POINT (34.9642306 29.5514008),lot 72,,3,1,34.9642306,29.5514008,104.8926918,88.6542024
POINT (34.9620726 29.5512818),lot 73,,3,1,34.9620726,29.5512818,104.8862178,88.6538454
POINT (34.9634575 29.552138),lot 74,,3,1,34.9634575,29.552138,104.8903725,88.656414
POINT (34.9667193 29.5540665),lot 75,,3,1,34.9667193,29.5540665,104.9001579,88.6621995
POINT (34.9647463 29.55341),lot 76,,2,1,34.9647463,29.55341,69.9294926,59.10682
POINT (34.9646353 29.5540117),lot 77,,2,1,34.9646353,29.5540117,69.9292706,59.1080234
POINT (34.9631437 29.5535639),lot 78,,1,1,34.9631437,29.5535639,34.9631437,29.5535639
POINT (34.962394 29.5538104),lot 79,,3,1,34.962394,29.5538104,104.887182,88.6614312
POINT (34.9594977 29.5549593),lot 82,,1,1,34.9594977,29.5549593,34.9594977,29.5549593
POINT (34.9639955 29.554711),lot 83,,1,1,34.9639955,29.554711,34.9639955,29.554711
POINT (34.9622153 29.5551367),lot 84,,2,1,34.9622153,29.5551367,69.9244306,59.1102734
POINT (34.9610101 29.5551128),lot 85,,2,1,34.9610101,29.5551128,69.9220202,59.1102256
POINT (34.9592829 29.5556484),lot 86,,2,1,34.9592829,29.5556484,69.9185658,59.1112968
POINT (34.9660967 29.5550506),lot 87,,3,1,34.9660967,29.5550506,104.8982901,88.6651518
POINT (34.9633069 29.5558451),lot 88,,2,1,34.9633069,29.5558451,69.9266138,59.1116902
POINT (34.962841 29.5561844),lot 89,,1,1,34.962841,29.5561844,34.962841,29.5561844
POINT (34.962752 29.5572586),lot 90,,2,1,34.962752,29.5572586,69.925504,59.1145172
POINT (34.9615361 29.5564451),lot 91,,3,1,34.9615361,29.5564451,104.8846083,88.6693353
POINT (34.9602426 29.5567652),lot 92,,1,1,34.9602426,29.5567652,34.9602426,29.5567652
POINT (34.9525642 29.5487348),lot 93,,3,1,34.9525642,29.5487348,104.8576926,88.6462044
POINT (34.9523084 29.5479165),lot 94,,2,1,34.9523084,29.5479165,69.9046168,59.095833
POINT (34.9522424 29.5561524),lot 107,,3,1,34.9522424,29.5561524,104.8567272,88.6684572
POINT (34.9520735 29.5566693),lot 108,,2,1,34.9520735,29.5566693,69.904147,59.1133386
POINT (34.9554089 29.5575619),lot 111,,1,1,34.9554089,29.5575619,34.9554089,29.5575619
POINT (34.9545168 29.5572233),lot 114,,1,1,34.9545168,29.5572233,34.9545168,29.5572233
POINT (34.9510788 29.5511792),lot 139,,1,1,34.9510788,29.5511792,34.9510788,29.5511792
